8211	8211	–	–
8212	8212	—	—
8216	8217	‘	’
8217	8217	’	’
8220	8221	“	”
8221	8221	”	”
8222	8222	„	„
160	160	 	 
161	363	¡	ū
8225	108	‡	l
162	7779	¢	ṣ
163	7751	£	ṇ
164	7717	¤	ḥ
165	7771	¥	ṛ
166	299	¦	ī
8230	8230	…	…
167	257	§	ā
168	7693	¨	ḍ
170	347	ª	ś
171	171	«	«
174	346	®	Ś
175	7749	¯	ṅ
176	7745	°	ṁ
177	7789	±	ṭ
178	7773	²	ṝ
182	362	¶	Ū
185	7770	¹	Ṛ
187	187	»	»
188	346	¼	Ś
193	193	Á	Á
201	201	É	É
205	205	Í	Í
336	336	Ő	Ő
337	337	ő	ő
211	211	Ó	Ó
212	336	Ô	Ő
213	336	Õ	Ő
214	214	Ö	Ö
218	218	Ú	Ú
220	220	Ü	Ü
221	256	Ý	Ā
225	225	á	á
231	7788	ç	Ṭ
233	233	é	é
237	237	í	í
369	369	ű	ű
241	241	ñ	ñ
243	243	ó	ó
245	337	õ	ő
246	246	ö	ö
250	250	ú	ú
251	369	û	ű
252	252	ü	ü
